epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,5269.45,0.51392,0.36326,0.91108,0.97484,0.99533,0.99437,0.90185,0.46434,0.26746,0.86507,0.000544354,0.000544354,0.000544354
98,5323.31,0.52311,0.39251,0.91779,0.96775,0.98304,0.99278,0.86686,0.57699,0.29546,0.92982,0.000542586,0.000542586,0.000542586
99,5376.88,0.50601,0.36893,0.90323,0.9557,0.98476,0.99207,0.87004,0.57447,0.32596,0.92242,0.000540819,0.000540819,0.000540819
100,5430.24,0.51866,0.39055,0.91777,0.96251,0.98989,0.99269,0.88518,0.53652,0.303,0.89834,0.000539052,0.000539052,0.000539052
101,5484.06,0.50413,0.37599,0.9105,0.95137,0.98565,0.99222,0.8945,0.5051,0.3029,0.88621,0.000537285,0.000537285,0.000537285
102,5537.72,0.5192,0.3922,0.90421,0.95534,0.99105,0.99226,0.87513,0.56772,0.33449,0.91336,0.000535518,0.000535518,0.000535518
103,5590.48,0.52631,0.3946,0.92096,0.97996,0.96215,0.99118,0.91413,0.40428,0.27649,0.8487,0.000533751,0.000533751,0.000533751
104,5643.36,0.50812,0.37338,0.89876,0.95667,0.99359,0.99216,0.90616,0.45658,0.28093,0.86516,0.000531984,0.000531984,0.000531984
105,5697.11,0.49235,0.36066,0.89844,0.95223,0.99025,0.99193,0.91358,0.44611,0.27306,0.86437,0.000530216,0.000530216,0.000530216
106,5750.33,0.51578,0.36831,0.89346,0.96362,0.98633,0.99228,0.88452,0.51577,0.2789,0.88798,0.000528449,0.000528449,0.000528449
107,5803.2,0.52651,0.37525,0.89566,0.96902,0.99152,0.99222,0.88476,0.51894,0.27139,0.88814,0.000526682,0.000526682,0.000526682
108,5856.28,0.5019,0.37369,0.90538,0.96149,0.99085,0.99185,0.89519,0.51509,0.29341,0.88368,0.000524915,0.000524915,0.000524915
109,5909.17,0.48858,0.36455,0.88472,0.9506,0.99085,0.99139,0.89344,0.48623,0.28811,0.88708,0.000523148,0.000523148,0.000523148
110,5962.18,0.50639,0.37197,0.90627,0.92917,0.99194,0.98974,0.90274,0.45912,0.30799,0.87054,0.000521381,0.000521381,0.000521381
111,6015.29,0.49257,0.36095,0.89534,0.96496,0.9939,0.99248,0.88217,0.53695,0.29237,0.90042,0.000519613,0.000519613,0.000519613
112,6067.97,0.49509,0.36687,0.89232,0.96486,0.9939,0.9929,0.91775,0.41256,0.27041,0.85105,0.000517846,0.000517846,0.000517846
113,6121.63,0.48842,0.35061,0.89428,0.97075,0.9916,0.9932,0.88642,0.50777,0.2854,0.88705,0.000516079,0.000516079,0.000516079
114,6175.28,0.50222,0.38409,0.88981,0.9673,0.99554,0.99366,0.89236,0.50442,0.30371,0.88458,0.000514312,0.000514312,0.000514312
115,6228.64,0.49163,0.35063,0.89595,0.96661,0.99695,0.9927,0.8983,0.46505,0.27408,0.87376,0.000512545,0.000512545,0.000512545
116,6281.9,0.48872,0.35507,0.89499,0.97434,0.9939,0.99305,0.90936,0.44441,0.28621,0.85918,0.000510778,0.000510778,0.000510778
117,6335,0.49178,0.35868,0.8916,0.95233,0.9899,0.9871,0.89976,0.46688,0.30041,0.866,0.000509011,0.000509011,0.000509011
