epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,9810.34,0.35026,0.28351,0.84034,0.93412,0.95439,0.96757,0.93278,0.3018,0.32012,0.84784,0.0016345,0.0016345,0.0016345
171,9867.7,0.34735,0.28274,0.84017,0.93432,0.9541,0.96754,0.93262,0.30203,0.32057,0.84795,0.001585,0.001585,0.001585
172,9925.45,0.34964,0.27656,0.83947,0.93451,0.95341,0.9675,0.9325,0.30194,0.32045,0.84776,0.0015355,0.0015355,0.0015355
173,9983.28,0.34743,0.28026,0.83657,0.93433,0.95327,0.96745,0.93231,0.3022,0.32113,0.8478,0.001486,0.001486,0.001486
174,10040.4,0.34958,0.28175,0.83959,0.93416,0.95346,0.96737,0.93211,0.30221,0.32123,0.84775,0.0014365,0.0014365,0.0014365
175,10097.7,0.34545,0.27439,0.83788,0.93457,0.9534,0.96742,0.93171,0.30244,0.3221,0.84782,0.001387,0.001387,0.001387
176,10156.1,0.34281,0.27607,0.83647,0.93468,0.95337,0.96741,0.93201,0.3022,0.32214,0.84772,0.0013375,0.0013375,0.0013375
177,10214.1,0.34709,0.27346,0.84163,0.93458,0.95365,0.9675,0.9316,0.30223,0.32185,0.84763,0.001288,0.001288,0.001288
178,10271.8,0.34662,0.27481,0.84025,0.93435,0.95331,0.96754,0.93189,0.30216,0.32238,0.84764,0.0012385,0.0012385,0.0012385
179,10329.7,0.3438,0.27496,0.83961,0.93463,0.95314,0.96756,0.93198,0.30229,0.3228,0.8477,0.001189,0.001189,0.001189
180,10388.2,0.34307,0.27198,0.83944,0.93447,0.9532,0.96757,0.93203,0.30258,0.32278,0.84773,0.0011395,0.0011395,0.0011395
181,10445.3,0.34312,0.27368,0.83569,0.93391,0.95252,0.96754,0.93209,0.30255,0.32296,0.8477,0.00109,0.00109,0.00109
182,10503,0.34167,0.27234,0.83785,0.93452,0.95161,0.96757,0.93223,0.30234,0.32325,0.84755,0.0010405,0.0010405,0.0010405
183,10560.6,0.34075,0.26972,0.83699,0.934,0.95158,0.96755,0.93204,0.30248,0.32385,0.84751,0.000991,0.000991,0.000991
184,10618.6,0.33604,0.26428,0.83624,0.93381,0.95153,0.96755,0.93202,0.30238,0.32429,0.84741,0.0009415,0.0009415,0.0009415
